Variant ID,Round ID,Source Video,Source Reel URL,Source Reel Caption,Source Reel Posted,Source Video Description,Date Posted,Time Posted,Day of Week,Phase,Test Variable,Variant Category,Normalized Hook Category,Exact Hook / Variant Wording,Modality,Country,Format Type,Video Length (sec),Is Original / Live Hook,Predicted Best Performing Hook,Human Prediction Rank,Prediction Confidence,Prediction Rationale,Views 24h,3-Sec Retention % 24h,Avg Watch Time (sec) 24h,Watch % of Length 24h,Saves 24h,Shares 24h,Comments 24h,Follows from Reel 24h,Views 48h,3-Sec Retention % 48h,Avg Watch Time (sec) 48h,Watch % of Length 48h,Saves 48h,Shares 48h,Comments 48h,Follows from Reel 48h,Decision Score 48h,Views 7d,3-Sec Retention % 7d,Avg Watch Time (sec) 7d,Watch % of Length 7d,Saves 7d,Shares 7d,Comments 7d,Follows from Reel 7d,Promoted to Feed (Y/N),Date Promoted,Winner of Round (Y/N),Prediction Correct (Round),Notes / Anomalies
R9V4,R9,Harvard Football Guy Learns Muay Thai,,,,Bangkok Muay Thai training reel centered on a Harvard football player trying a very different combat-sport skill set.,,,,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,Football strength does not prepare you for Muay Thai,Text overlay + matched opening audio,Thailand,Sports / cultural challenge,24,N,N,4,High,,171,58.6,11.2,46.7,0,1,0,0,251,58.8,11.4,47.4,1,1,0,0,55.9,266,58.4,11.3,47.0,1,1,0,0,N,,N,Y,
R9V5,R9,Harvard Football Guy Learns Muay Thai,,,,Bangkok Muay Thai training reel centered on a Harvard football player trying a very different combat-sport skill set.,,,,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; open on the first clean pad strike],Visual-first / no hook text,Thailand,Sports / cultural challenge,24,N,N,5,High,,163,56.2,10.9,45.4,0,1,0,0,226,55.9,10.8,45.1,1,1,0,0,53.2,244,55.4,10.8,44.8,1,1,0,0,N,,N,Y,
R10V1,R10,Second Most-Climbed Mountain Hike,https://www.instagram.com/reel/DbmGkfMhJ2w/,Can you guess what the most hiked mountain in the world is?,2026-08-03,Mt. Monadnock/New England hiking reel using a surprising global ranking to frame a close-to-Boston hike.,8/3/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,come hike the second most climbed mountain in the world,Text overlay + matched opening audio,United States,Trivia / hiking,32,Y,Y,1,High,"The surprising ranking is the information payoff, so leading with it should outperform vaguer curiosity hooks.",289,70.1,16.8,52.5,2,2,1,1,438,69.4,16.5,51.7,4,4,1,2,65.0,1250,67.6,16.2,50.6,10,11,3,4,Y,8/5/2026,Y,Y,Promoted after 48h decision checkpoint.
R10V2,R10,Second Most-Climbed Mountain Hike,https://www.instagram.com/reel/DbmGkfMhJ2w/,Can you guess what the most hiked mountain in the world is?,2026-08-03,Mt. Monadnock/New England hiking reel using a surprising global ranking to frame a close-to-Boston hike.,8/3/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard students hike one of the world’s most-climbed mountains,Text overlay + matched opening audio,United States,Trivia / hiking,32,N,N,4,High,,171,60.0,14.6,45.7,0,1,0,0,241,60.4,14.8,46.2,1,1,0,0,56.8,258,60.0,14.7,45.9,1,1,0,0,N,,N,Y,
R10V3,R10,Second Most-Climbed Mountain Hike,https://www.instagram.com/reel/DbmGkfMhJ2w/,Can you guess what the most hiked mountain in the world is?,2026-08-03,Mt. Monadnock/New England hiking reel using a surprising global ranking to frame a close-to-Boston hike.,8/3/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,POV: one of the world’s most-climbed mountains is a day trip from Boston,Text overlay + matched opening audio,United States,Trivia / hiking,32,N,N,3,High,,193,62.6,15.7,49.2,0,1,0,0,279,62.1,15.6,48.8,1,1,0,0,58.8,304,61.5,15.5,48.3,1,2,0,0,N,,N,Y,
R10V4,R10,Second Most-Climbed Mountain Hike,https://www.instagram.com/reel/DbmGkfMhJ2w/,Can you guess what the most hiked mountain in the world is?,2026-08-03,Mt. Monadnock/New England hiking reel using a surprising global ranking to frame a close-to-Boston hike.,8/3/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,The second most climbed mountain in the world is not where you think,Text overlay + matched opening audio,United States,Trivia / hiking,32,N,N,2,High,,214,64.5,15.9,49.7,1,1,0,0,315,64.7,16.1,50.4,1,2,0,0,61.1,334,64.3,16.0,50.0,1,2,1,1,N,,N,Y,
R10V5,R10,Second Most-Climbed Mountain Hike,https://www.instagram.com/reel/DbmGkfMhJ2w/,Can you guess what the most hiked mountain in the world is?,2026-08-03,Mt. Monadnock/New England hiking reel using a surprising global ranking to frame a close-to-Boston hike.,8/3/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; open on the summit reveal],Visual-first / no hook text,United States,Trivia / hiking,32,N,N,5,High,,148,57.1,14.0,43.9,0,1,0,0,205,56.8,14.0,43.6,1,1,0,0,53.5,221,56.3,13.9,43.3,1,1,0,0,N,,N,Y,
R11V1,R11,Puerto Rico Trip Talk,https://www.instagram.com/reel/Db30rE0hd5w/,First @ owes you a trip to puerto rico,2026-08-07,Puerto Rico beach/city montage built around conversational trip talk and a shareable destination prompt.,8/7/2026,11:00 a.m.,Friday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,I'm talking trips to puerto rico,Text overlay + matched opening audio,Puerto Rico,Social CTA / destination montage,12,Y,Y,1,Low,"The conversational phrasing fits the montage, though this round felt more dependent on the first visual than the copy.",258,66.5,7.7,64.3,1,3,1,1,391,65.8,7.6,63.5,2,5,1,1,65.2,1080,64.0,7.5,62.4,5,15,3,4,Y,8/9/2026,Y,Y,Promoted after 48h decision checkpoint.
R11V2,R11,Puerto Rico Trip Talk,https://www.instagram.com/reel/Db30rE0hd5w/,First @ owes you a trip to puerto rico,2026-08-07,Puerto Rico beach/city montage built around conversational trip talk and a shareable destination prompt.,8/7/2026,11:00 a.m.,Friday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard students make the case for your next Puerto Rico trip,Text overlay + matched opening audio,Puerto Rico,Social CTA / destination montage,12,N,N,4,Low,,155,53.8,6.8,56.3,0,1,0,0,218,54.2,6.8,56.8,1,1,0,0,54.9,233,53.8,6.8,56.5,1,1,0,0,N,,N,Y,
R11V3,R11,Puerto Rico Trip Talk,https://www.instagram.com/reel/Db30rE0hd5w/,First @ owes you a trip to puerto rico,2026-08-07,Puerto Rico beach/city montage built around conversational trip talk and a shareable destination prompt.,8/7/2026,11:00 a.m.,Friday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,7 seconds that should put Puerto Rico on your group chat,Text overlay + matched opening audio,Puerto Rico,Social CTA / destination montage,12,N,N,3,Low,,165,57.5,7.2,60.0,0,1,0,0,239,57.0,7.2,59.6,1,1,0,0,57.6,261,56.4,7.1,59.1,1,1,0,0,N,,N,Y,
R11V4,R11,Puerto Rico Trip Talk,https://www.instagram.com/reel/Db30rE0hd5w/,First @ owes you a trip to puerto rico,2026-08-07,Puerto Rico beach/city montage built around conversational trip talk and a shareable destination prompt.,8/7/2026,11:00 a.m.,Friday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,Stop saving Puerto Rico and book the trip,Text overlay + matched opening audio,Puerto Rico,Social CTA / destination montage,12,N,N,2,Low,,186,58.9,7.2,60.1,0,1,0,0,273,59.1,7.3,60.8,1,1,0,0,59.5,289,58.7,7.2,60.4,1,1,0,0,N,,N,Y,
R11V5,R11,Puerto Rico Trip Talk,https://www.instagram.com/reel/Db30rE0hd5w/,First @ owes you a trip to puerto rico,2026-08-07,Puerto Rico beach/city montage built around conversational trip talk and a shareable destination prompt.,8/7/2026,11:00 a.m.,Friday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; open on the strongest beach-to-city cut],Visual-first / no hook text,Puerto Rico,Social CTA / destination montage,12,N,N,5,Low,,140,51.3,6.4,53.0,0,1,0,0,194,51.0,6.3,52.7,1,1,0,0,51.4,210,50.5,6.3,52.4,1,1,0,0,N,,N,Y,
